no,nama,penjelasan,label
1,Pulau Kangean,"Wisata di Sumenep pertama kali yang harus Anda kunjungi adalah Pulau Kangean. Memiliki keindahan alam luar biasa yang sulit untuk dilupakan. Pulau terbesar di Madura ini mempunyai luas kurang lebih 188 km persegi. Salah satu cara terbaik menuju ke sana adalah menggunakan kapal. Butuh waktu sampai 10 jam jika, cuaca sedang bagus. Jika. tidak bisa sampai 15 jam lebih. Jaraknya dari Sumenep kurang lebih 100 km. Untuk kapal ekspres waktu tempuhnya lebih singkat. paling lama hanya 5 jam saja. Keunikan dari Pulau Kangean sendiri adalah penduduknya yang menggunakan berbagai bahasa seperti, Mandar, Sulawesi hingga makassar. Ada juga yang menggunakan bahasa kangean atau hampir seperti dialek Madura.. Berkunjung ke Kangean memang tidak salah. karena, Anda akan dimanjakan dengan berbagai keindahan alamnya. Mulai dari Goa, pantai, pemandian, sampai dengan menu kuliner berupa ikan yang pastinya lezat dan halal. Untuk penginapan, Anda bisa menginap di rumah warga dengan tarif yang bisa didiskusikan sendiri.",alam
2,Gili Iyang,"Wisata Sumenep berikutnya yang tidak kalah menarik adalah Gili Iyang. Letaknya di Desa Dungkek, Kabupaten Sumenep. Apa yang membuat Anda wajib mengunjungi tempat ini? Salah satunya kualitas udaranya. Menurut penelitian Gili Iyang ini mempunyai kandungan oksigen paling bagus sekaligus bersih di Indonesia. Bahkan, cukup membanggakan sekali masuk jajaran nomor dua di dunia. Untuk peringkat pertamanya masih diduduki oleh Yordania. Menurut penelitian kadar oksigennya mencapai 5% lebih banyak dari batas normal dunia yaitu, 20,95%. Tidak heran bila kawasan ini mendapatkan julukan sebagai Pulau Oksigen. Keindahan alamnya benar-benar masih terjaga dan indah kebangetan. Murni masih sangat alami tanpa polusi. Bukan hanya memiliki kualitas udara yang bagus saja, Gili Iyang juga punya banyak kawasan yang menampilkan berbagai macam spot menarik. Mulai dari pantai dengan pasir putihnya, Goa yang menghadirkan stalagmit dan stalaktit. Sampai perbukitan dengan sajian matahari terbit dan terbenam. Menariknya lagi, suasana di sekitar sangat tenang karena, tingkat kebisingannya hanya 36% saja. Menuju ke Gili Iyang membutuhkan waktu 45 menit naik kapal dari Pelabuhan Dungkek. Tarifnya mulai dari Rp. 50.000 untuk sekali jalan. Jika, datang rombongan, sewa jasa tour guide. Maka, sewa kapal akan jauh lebih murah.",alam
3,Pantai Sembilan,"wisata Sumenep Pantai Sembilan jadi lokasi selanjutnya yang harus dikunjungi oleh wisatawan, Terletak di Desa Bringsang, Kecamatan Giligenting. Untuk masuk ke lokasi Anda akan ditetapkan biaya sebesar Rp5 ribu saja. Kawasan yang memiliki pasir putih ini sebelumnya dijuluki dengan sebutan Pantai Bangsring. Tetapi, saat wisatawan mengenal Drone dan difoto dari atas. Ternyata bentuknya hampir mirip angka sembilan. Dari situ penamaan pantai Sembilan berasal, terus berkembang sampai sekarang. Sebelum menjadi objek wisata unggulan tempat ini merupakan dermaga kecil. Penghubung pulau di sebelahnya. Banyak kapal nelayan bersandar, seiring berjalannya waktu. Dermaga tersebut sudah tidak terdengar lagi dan kapal yang bersandar hanya melayani keinginan wisatawan untuk pergi berputar-putar. Fasilitas yang diberikan Pantai Sembilan tergolong sangat lengkap. Seperti sewa alat untuk snorkeling, area makan, kamar mandi, ruang ganti serta musholla. Hampir semua fasilitasnya terawat dengan baik dan sangat bersih. Jika lupa membawa perbekalan, tidak perlu panik karena, sudah tersedia warung menjual berbagai menu seafood yang enak dan harganya murah. Selain itu, pedagang kaki lima juga tidak mau kalah menjual barang dagangannya. Walau sudah ada petugas, tetap ikut menjaga lingkungan pantai dengan membuang sampah pada tempatnya yang sudah disediakan. Semakin bersih, semakin nyaman untuk dikunjungi.",alam
4,Gili Pandan,"Berada di Kecamatan Gili Genting, ada satu kawasan wisata yang menarik perhatian wisatawan yaitu Gili Pandan. Sebuah pulau kecil, tidak berpenghuni dan sangat elok dengan pemandangan bibir pantainya. Ombaknya sangat tenang sehingga, banyak pengunjung sering memanfaatkan tempat ini untuk santai sambil menikmati pemandangan sekitar. Pemandangan akan sangat menarik ketika air mulai surut. Anda bisa menyaksikan batuan bekas dari daratan, terlihat sangat luas. Menuju ke Wisata Sumenep ini dapat ditempuh dari berbagai lokasi. Dapat melalui Pantai Talang Siring, Cukup sewa perahu saja dengan harga mulai dari Rp50 ribu. Bisa juga melalui Desa Kaduara Barat.",alam
5,Pulau Sapeken,"Objek wisata Sumenep memang didominasi dengan berbagai kepulauan. Selain berbagai Gili, Wisatawan juga akan disuguhkan dengan Pulau Sapeken. Berpenghuni dan di diami oleh berbagai suku seperti, Bugis, Mandar, dan Bajau. Semua suku tersebut dapat Anda saksikan melalui bentuk rumahnya. Mereka masih mempertahankan Rumah Adat sebagai tempat berteduh. Singaraja Bali adalah kawasan yang sering dikunjungi oleh penduduk. Waktu tempuhnya kurang lebih 6 jam. Biasanya orang Pulau Sapeken akan membeli berbagai kebutuhan pokok. Menurut sejarahnya, Penduduk pertama dari Pulau Sapeken adalah orang Sulawesi.Selatan. Nama Sapeken sendiri berasal dari bahasa Jawa bernama Sak peken bila diartikan ke Indonesia artinya adalah satu pekan. Dulu, Pulau ini hanya digunakan untuk singgah saja. Tetapi, lambat laun mulai ditempati sampai sekarang. Seiring berjalannya waktu, banyak penduduk dari berbagai suku dan wilayah datang serta menetap di wilayah ini. Selain bisa melihat keberagaman wisatawan juga disuguhkan dengan eloknya pantai, memiliki pasir putih dan pemandangannya super cantik, dijamin.",alam
6,Kebun Bunga Matahari,"Kebun bunga matahari terletak di Desa Montok, Kecamatan Larangan, Pamekasan, Madura, Jawa Timur. Tidak perlu jauh-jauh keluar negeri jika ingin berfoto-foto berlatar bunga matahari, karena di Madura juga tersedia spot yang menarik ini. Awalnya kebun bunga matahari ini adalah lahan perkebunan milik bapak H. Saputra ini awalnya ditanami pohon pisang. Perkebunan pisang ini tidak bertahan lama dikarenakan serangan hama sehingga pohon pisangnya ditebang, kemudian beliau mencoba menggantinya dengan menanam bibit bunga matahari. Rasanya memang tidak perlu ke Jepang menikmati indahnya bunga sakura atau bahkan ke Eropa. Cukup ke Wisata Kebun Matahari di Pamekasan Madura para wisatawan sudah bisa menikmati keindahannya. Para wisatawan bisa mengambil spot berfoto di antara bunga-bunga manja ala Syahrini dan artis lainnya di Kebun Bunga Matahari, Pamekasan, Madura. Jadi para wisatawan apalagi orang Madura tidak perlu jauh-jauh pelesir ke Eropa untuk mendapatkan hasil foto yang bagus di antara bunga matahari. Karena di Madura, sudah ada kebun bunga matahari yang tak kalah indahnya.",buatan
7,Bukit Jaddih,"Namanya juga berada di wilayah iklim tropis, tentu saja pemandangan serba putih di Bukit Jaddih ini bukan berasal dari salju. Inilah lokasi bekas penambangan kapur yang menyisakan pemandangan indah. Di sini Anda bisa berkeliling di antara tebing-tebing tinggi berwarna putih. Rasanya seperti sedang tersesat di labirin raksasa. Selain hamparan batu kapur putih, di sini juga terdapat danau yang indah berwarna biru. Perpaduan warna biru dan putihnya benar-benar mengagumkan dan terlihat Instagenic. Bukit Jaddih adalah tempat wisata di Madura yang sangat instagramable, berupa ukiran batu kapur yang membentuk beberapa bangunan, serta arsitektur lainnya. Sepintas hasil jepretan kamera akan memberikan nuansa seolah-olah sedang berada di Yunani, atau Timur Tengah, tetapi nyatanya berada di dekat pusat Kota Bangkalan, Madura. Bukit Jaddih adalah bekas tambang kapur, yang kemudian ditata sedemikian rupa sehingga menjadi sebuah wisata alam yang instagramable di Madura.",alam
8,Bukit Kapur Arosbaya,"Satu lagi tempat wisata di Madura yang terbentuk dari lahan tambang kapur yang sudah lama tidak aktif, namanya adalah Bukit Arosbaya. Pahatan – pahatan batu kapur yang ada di Bukit Arosbaya secara tidak langsung membentuk lorong-lorong indah, serta goa, sekaligus jalur trekking di alam terbuka. Tidak sedikit para fotografer yang menjadikan Bukit Arosbaya sebagai objek karyanya. Selain itu, Bukit Arosbaya juga dekat dengan wisata religi di Madura, yaitu Makam Para Raja Bangkalan Air Mata Ibu.",alam
9,"Kolam Renang Goa Pote, Bangkalan","Karena dikelilingi bekas tambang kapur yang berwarna putih, maka warga setempat menyebut kolam renang ini sebagai Kolam Renang Goa Pote alias Gua Putih. Tempatnya memang tak biasa, yaitu di tengah alam bebas, tepatnya di tengah – tengah perbukitan tambang galian C. Masih di kawasan Bukit Jaddih, kehadiran kolam renang ini semakin unik karena menjorok di kedalaman 7 meter di bawah permukaan tanah dan dikelilingi oleh tebing-tebing kapur nan menjulang. Ukuran kolamnya pun cukup luas, sehingga pengunjung bebas leluasa berenang. Bawa anak-anak? Tenang, di sebelah barat tersedia area kolam khusus untuk Si Kecil dengan kedalaman yang pas dan aman.",alam
10,"Bukit Tinggi Daramista, Sumenep","Apa sih sesi yang paling menarik saat liburan? Foto-foto pastinya! Madura punya spot foto yang bagus dan tak boleh dilewatkan yaitu Bukit Tinggi Daramista (bukan Daratista ya!). Siapkan energi untuk berjalan kaki menaiki bukit ini. Tenang, semua rasa lelah dari berjalan kaki akan terbayar saat Anda tiba di atas bukit. Wow, Anda seperti berada di sebuah Negeri Dongeng. Coba saja berfoto di sarang burung buatan ini. Atau ingin foto bersama pasangan di bangunan berbentuk love ini? Hasilnya pasti ciamik! Jika ingin mendapatkan suasana romantis, datanglah menjelang sore hari. Selain bisa menikmati detik-detik matahari terbenam, citylights Kabupaten Sumenep pun menjadi pemandangan yang indah di malam hari.",alam
